Keyword,Year,Month,Day,Hour
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
flu,2018,12,2,16
flu,2018,12,2,16
flu,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,16
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
